Date,Portfolio_Value,Regime,Holdings
2017-03-07,96415.52429510944,1.0,{'GLD': 0.994}
2017-03-08,95819.36328436725,1.0,{'GLD': 0.994}
2017-03-09,95563.76578574053,1.0,{}
2017-03-10,95563.76578574053,1.0,{}
2017-03-13,95563.76578574053,1.0,{}
2017-03-14,95563.76578574053,1.0,{}
2017-03-15,95563.76578574053,1.0,{}
2017-03-16,95563.76578574053,1.0,{}
2017-03-17,95563.76578574053,1.0,{}
2017-03-20,95563.76578574053,1.0,{}
2017-03-21,96413.8528049698,1.0,{'TLT': 0.999}
2017-03-22,96798.70583231356,1.0,{'TLT': 0.999}
2017-03-23,96662.3853290787,1.0,{'TLT': 0.999}
2017-03-24,97007.14687235262,1.0,{'TLT': 0.999}
2017-03-27,97448.17684061434,1.0,{'TLT': 0.999}
2017-03-28,96798.70583231356,1.0,{'TLT': 0.999}
2017-03-29,97375.99325449373,1.0,{'TLT': 0.999}
2017-03-30,96590.25691110994,1.0,{'TLT': 0.999}
2017-03-31,96686.25503764144,1.0,{'TLT': 0.5}
2017-04-03,97650.56158191056,1.0,{'TLT': 0.999}
2017-04-04,97253.27194082078,1.0,{'TLT': 0.499}
2017-04-05,97719.43527184754,1.0,{'TLT': 0.998}
2017-04-06,97574.8001400116,1.0,{'TLT': 0.998}
2017-04-07,97181.07292138367,1.0,{'TLT': 0.998}
2017-04-10,97566.84286946926,1.0,{'TLT': 0.501}
2017-04-11,98030.20215291652,1.0,{'TLT': 0.503}
2017-04-12,98300.1295058218,1.0,{'TLT': 0.505}
2017-04-13,98432.73273067821,1.0,{}
2017-04-17,98432.73273067821,1.0,{}
2017-04-18,98432.73273067821,1.0,{}
2017-04-19,98432.73273067821,1.0,{}
2017-04-20,98432.73273067821,1.0,{}
2017-04-21,99039.14713056387,1.0,{'XLU': 0.999}
2017-04-24,99555.41376645865,1.0,{'XLU': 0.999}
2017-04-25,99421.55142362417,1.0,{'XLU': 0.999}
2017-04-26,99246.39597753191,1.0,{'XLU': 0.499}
2017-04-27,99394.12565711161,1.0,"{'GLD': 0.497, 'XLU': 0.5}"
2017-04-28,99310.52983763834,1.0,"{'GLD': 0.499, 'XLU': 0.498}"
2017-05-01,98631.52463021092,1.0,"{'GLD': 0.334, 'XLU': 0.499}"
2017-05-02,98579.03847232781,1.0,{'XLU': 0.5}
2017-05-03,98633.74473524536,1.0,{}
2017-05-04,98746.91609693703,1.0,{'TLT': 0.994}
2017-05-05,98884.31631548304,1.0,{}
2017-05-08,98884.31631548304,1.0,{}
2017-05-09,98209.5124704557,1.0,{'XLU': 0.999}
2017-05-10,98362.44123098426,1.0,{'XLU': 0.999}
2017-05-11,98496.31326696448,1.0,{'XLU': 0.999}
2017-05-12,98974.3404428678,1.0,{'XLU': 0.999}
2017-05-15,99395.00358221107,1.0,{'XLU': 0.999}
2017-05-16,98668.39568349891,1.0,{'XLU': 0.999}
2017-05-17,98904.62005631454,1.0,{'XLU': 0.5}
2017-05-18,99076.84761826522,1.0,{'XLU': 0.501}
2017-05-19,99260.74280317842,1.0,"{'GLD': 0.452, 'XLU': 0.502}"
2017-05-22,99879.31170805513,1.0,"{'GLD': 0.451, 'XLU': 0.503}"
2017-05-23,99727.48950727998,1.0,"{'GLD': 0.449, 'XLU': 0.505}"
2017-05-24,99725.2285195666,1.0,{}
2017-05-25,99667.02307731548,1.0,{'GLD': 0.999}
2017-05-26,100550.00104362407,1.0,{'GLD': 0.999}
2017-05-30,100216.79977256694,1.0,{'GLD': 0.999}
2017-05-31,100616.64256889262,1.0,{'GLD': 0.999}
2017-06-01,100699.9412978355,1.0,{'GLD': 0.999}
2017-06-02,101441.31078941264,1.0,{'GLD': 0.999}
2017-06-05,101541.27307731548,1.0,{'GLD': 0.999}
2017-06-06,102682.47900993266,1.0,{'GLD': 0.999}
2017-06-07,102398.68104877412,1.0,{}
2017-06-08,102398.68104877412,1.0,{}
2017-06-09,102398.68104877412,1.0,{}
2017-06-12,102398.6089479068,1.0,{'GLD': 0.998}
2017-06-13,102500.49127975495,1.0,{'GLD': 0.998}
2017-06-14,101940.14817062409,1.0,{'GLD': 0.998}
2017-06-15,101515.64817062409,1.0,{'GLD': 0.998}
2017-06-16,101532.62532058747,1.0,{'GLD': 0.998}
2017-06-19,100760.03868881256,1.0,{'GLD': 0.998}
2017-06-20,100547.78868881256,1.0,{'GLD': 0.998}
2017-06-21,100836.4455796817,1.0,{'GLD': 0.998}
2017-06-22,101176.0468751529,1.0,{'GLD': 0.998}
2017-06-23,101609.03868881256,1.0,{'GLD': 0.998}
2017-06-26,100616.07315858884,1.0,{}
2017-06-27,100616.07315858884,1.0,{}
2017-06-28,100616.07315858884,1.0,{}
2017-06-29,100616.07315858884,1.0,{}
2017-06-30,100534.8127925486,1.0,{'TLT': 0.998}
2017-07-03,100211.65004230446,1.0,{'TLT': 0.998}
2017-07-05,100235.77520252175,1.0,{'TLT': 0.998}
2017-07-06,99431.21673492317,1.0,{}
2017-07-07,99130.17727712657,1.0,{'DBC': 0.993}
2017-07-10,99544.71742681529,1.0,{'DBC': 0.993}
2017-07-11,100511.9595914271,1.0,{'DBC': 0.993}
2017-07-12,100028.3385091212,1.0,{'DBC': 0.993}
2017-07-13,100003.49616808539,1.0,{}
2017-07-14,100003.49616808539,1.0,{}
2017-07-17,100003.49616808539,1.0,{}
2017-07-18,100003.49616808539,1.0,{}
2017-07-19,100003.49616808539,1.0,{}
2017-07-20,99858.96139417522,1.0,{'TLT': 0.501}
2017-07-21,100070.96448408,1.0,{'TLT': 0.502}
2017-07-24,99874.98082624309,1.0,{'TLT': 0.501}
2017-07-25,99223.03399549358,1.0,{'TLT': 0.498}
2017-07-26,99090.7097656754,1.0,{}
2017-07-27,99106.08790813573,1.0,{'TLT': 0.994}
2017-07-28,99690.02330242284,1.0,{'TLT': 0.994}
2017-07-31,99810.02284465916,1.0,{'TLT': 0.994}
2017-08-01,100506.66736065038,1.0,{'TLT': 0.994}
2017-08-02,100562.82309185155,1.0,{'TLT': 0.994}
2017-08-03,101596.92441021092,1.0,{'TLT': 0.994}
2017-08-04,100739.22007976659,1.0,{'TLT': 0.994}
2017-08-07,100747.34185420605,1.0,{'TLT': 0.501}
2017-08-08,100565.89756404492,1.0,{'TLT': 0.5}
2017-08-09,100840.06200801465,1.0,{'TLT': 0.501}
2017-08-10,101271.46326839062,1.0,{'TLT': 0.503}
2017-08-11,101295.66682063672,1.0,{'TLT': 0.503}
2017-08-14,101033.60023128125,1.0,{'TLT': 0.502}
2017-08-15,100819.8936883125,1.0,{'TLT': 0.501}
2017-08-16,101346.25935008509,1.0,{'TLT': 0.998}
2017-08-17,102102.77309825404,1.0,{'TLT': 0.998}
2017-08-18,102147.63934563647,1.0,{'TLT': 0.737}
2017-08-21,102359.11530063965,1.0,{'TLT': 1.0}
2017-08-22,102092.07011054017,1.0,{'TLT': 0.5}
2017-08-23,102439.50808356263,1.0,{'TLT': 0.502}
2017-08-24,102216.92988358694,1.0,{'TLT': 0.998}
2017-08-25,102477.94388290096,1.0,{'TLT': 0.501}
2017-08-28,102445.6973161285,1.0,{'TLT': 0.501}
2017-08-29,102610.9810685699,1.0,{'TLT': 0.502}
2017-08-30,102594.88719649959,1.0,{'TLT': 0.501}
2017-08-31,102748.07701583553,1.0,{'TLT': 0.502}
2017-09-01,102116.57859384757,1.0,{'TLT': 0.998}
2017-09-05,103732.81900369865,1.0,{'TLT': 0.998}
2017-09-06,103674.801372747,1.0,{}
2017-09-07,103674.801372747,1.0,{}
2017-09-08,103674.801372747,1.0,{}
2017-09-11,103674.801372747,1.0,{}
2017-09-12,103437.66764043809,1.0,{'TLT': 0.996}
2017-09-13,103509.38423709782,1.0,{}
2017-09-14,104411.88069786431,1.0,{'XLU': 1.0}
2017-09-15,104558.85691131951,1.0,{'XLU': 1.0}
2017-09-18,103489.7614427984,1.0,{'XLU': 1.0}
2017-09-19,103279.80086769463,1.0,{'XLU': 1.0}
2017-09-20,103425.79450630653,1.0,{}
2017-09-21,103425.79450630653,1.0,{}
2017-09-22,103425.79450630653,1.0,{}
2017-09-25,103425.79450630653,1.0,{}
2017-09-26,103391.84668220168,1.0,{'TLT': 0.998}
2017-09-27,101836.43976081496,1.0,{'TLT': 0.998}
2017-09-28,101535.13727058058,1.0,{'TLT': 0.998}
2017-09-29,101763.18500007277,1.0,{'TLT': 0.998}
2017-10-02,101577.13940681105,1.0,{'TLT': 0.998}
2017-10-03,101278.32112870233,1.0,{}
2017-10-04,101278.32112870233,1.0,{}
2017-10-05,101278.32112870233,1.0,{}
2017-10-06,101650.81258101475,1.0,{'XLU': 0.995}
2017-10-09,101783.38998122227,1.0,{'XLU': 0.995}
2017-10-10,102768.15615935337,1.0,{'XLU': 0.995}
2017-10-11,103203.71091170322,1.0,{'XLU': 0.995}
2017-10-12,103733.9827088834,1.0,{'XLU': 0.995}
2017-10-13,103014.35242934238,1.0,{'XLU': 0.995}
2017-10-16,102787.09578795444,1.0,{'XLU': 0.995}
2017-10-17,103050.50540418693,1.0,{'XLU': 0.502}
2017-10-18,103065.36704071492,1.0,{'XLU': 0.998}
2017-10-19,104145.9206295821,1.0,{'XLU': 0.998}
2017-10-20,104221.73666962117,0.0,{'XLU': 0.998}
2017-10-23,104176.80955363362,0.0,{}
2017-10-24,104176.80955363362,0.0,{}
2017-10-25,104173.53827357395,0.0,{'BIL': 1.0}
2017-10-26,104173.53827357395,0.0,{'BIL': 1.0}
2017-10-27,104173.53827357395,0.0,{'BIL': 1.0}
2017-10-30,104150.69761347874,0.0,{'BIL': 1.0}
2017-10-31,104173.53827357395,0.0,{'BIL': 1.0}
2017-11-01,104184.89998316868,0.0,{'BIL': 1.0}
2017-11-02,104162.15524745091,0.0,{'BIL': 1.0}
2017-11-03,104162.15524745091,0.0,{'BIL': 1.0}
2017-11-06,104184.89998316868,0.0,{'BIL': 1.0}
2017-11-07,104184.89998316868,0.0,{'BIL': 1.0}
2017-11-08,104184.89998316868,0.0,{'BIL': 1.0}
2017-11-09,104162.15524745091,0.0,{'BIL': 1.0}
2017-11-10,104184.89998316868,0.0,{'BIL': 1.0}
2017-11-13,104184.89998316868,0.0,{'BIL': 1.0}
2017-11-14,104184.89998316868,0.0,{'BIL': 1.0}
2017-11-15,104184.89998316868,0.0,{'BIL': 1.0}
2017-11-16,104207.65537715062,0.0,{'BIL': 1.0}
2017-11-17,104184.89998316868,0.0,{'BIL': 1.0}
2017-11-20,104207.65537715062,0.0,{'BIL': 1.0}
2017-11-21,104230.42142939671,0.0,{'BIL': 1.0}
2017-11-22,104230.42142939671,0.0,{'BIL': 1.0}
2017-11-24,104207.65537715062,0.0,{'BIL': 1.0}
2017-11-27,104207.65537715062,0.0,{'BIL': 1.0}
2017-11-28,104253.28340602024,0.0,{'BIL': 1.0}
2017-11-29,104230.42142939671,0.0,{'BIL': 1.0}
2017-11-30,104230.42142939671,0.0,{'BIL': 1.0}
2017-12-01,104237.32798457249,0.0,{'BIL': 1.0}
2017-12-04,104248.67903590306,0.0,{'BIL': 1.0}
2017-12-05,104260.09403681858,0.0,{'BIL': 1.0}
2017-12-06,104248.67903590306,0.0,{'BIL': 1.0}
2017-12-07,104260.09403681858,0.0,{'BIL': 1.0}
2017-12-08,104271.46640467747,0.0,{'BIL': 1.0}
2017-12-11,104260.09403681858,0.0,{'BIL': 1.0}
2017-12-12,104271.46640467747,0.0,{'BIL': 1.0}
2017-12-13,104260.09403681858,0.0,{'BIL': 1.0}
2017-12-14,104271.46640467747,0.0,{'BIL': 1.0}
2017-12-15,104282.881405593,0.0,{'BIL': 1.0}
2017-12-18,104294.30706477269,0.0,{'BIL': 1.0}
2017-12-19,104296.55595851048,0.0,{'BIL': 1.0}
2017-12-20,104296.55595851048,0.0,{'BIL': 1.0}
2017-12-21,104296.55595851048,0.0,{'BIL': 1.0}
2017-12-22,104319.38596034153,0.0,{'BIL': 1.0}
